freq,Coherence
570.5,0.999942
571.0,0.99993
571.5,0.999959
572.0,0.999959
572.5,0.999945
573.0,0.999974
573.5,0.999972
574.0,0.999961
574.5,0.999956
575.0,0.999961
575.5,0.999957
576.0,0.999968
576.5,0.999966
577.0,0.999975
577.5,0.999979
578.0,0.999975
578.5,0.999941
579.0,0.99997
579.5,0.999968
580.0,0.999968
580.5,0.999976
581.0,0.99996
581.5,0.999971
582.0,0.999963
582.5,0.999968
583.0,0.999946
583.5,0.999967
584.0,0.999954
584.5,0.999963
585.0,0.999966
585.5,0.999949
586.0,0.999955
586.5,0.999944
587.0,0.999929
587.5,0.999945
588.0,0.999945
588.5,0.999949
589.0,0.999921
589.5,0.999935
590.0,0.999947
590.5,0.999907
591.0,0.999889
591.5,0.999921
592.0,0.999901
592.5,0.999921
593.0,0.99988
593.5,0.999882
594.0,0.999863
594.5,0.999925
595.0,0.999939
